user_id,age,city,lat,lon,interests,lifestyle,pref_min_age,pref_max_age,pref_max_distance_km
1,38,Mumbai,19.076,72.8777,"['coding', 'foodie', 'reading']","['night_owl', 'minimalist', 'luxury']",31,45,100
2,19,Bengaluru,12.9716,77.5946,"['anime', 'fitness', 'reading']","['introvert', 'minimalist', 'fitness_focused', 'night_owl', 'luxury']",18,26,50
3,18,Mumbai,19.076,72.8777,"['football', 'nature', 'foodie', 'anime']","['night_owl', 'luxury', 'fitness_focused', 'early_bird']",18,23,50
4,37,Chennai,13.0827,80.2707,"['gaming', 'cricket', 'movies', 'AI/ML', 'fitness']","['outdoorsy', 'homebody', 'introvert', 'minimalist', 'early_bird']",34,40,20
5,27,Delhi,28.7041,77.1025,"['reading', 'movies', 'finance']","['homebody', 'extrovert', 'luxury', 'minimalist']",23,31,50
6,40,Ahmedabad,23.0225,72.5714,"['travel', 'reading', 'hardware']","['outdoorsy', 'minimalist', 'introvert', 'homebody']",35,45,10
7,25,Chennai,13.0827,80.2707,"['nature', 'finance', 'foodie']","['luxury', 'homebody', 'introvert']",19,31,100
8,38,Delhi,28.7041,77.1025,"['music', 'foodie', 'hardware', 'movies', 'startups', 'AI/ML']","['luxury', 'fitness_focused', 'minimalist', 'extrovert', 'night_owl']",34,42,500
9,33,Hyderabad,17.385,78.4867,"['gaming', 'movies', 'music']","['fitness_focused', 'night_owl', 'luxury', 'introvert', 'outdoorsy']",27,39,500
10,26,Delhi,28.7041,77.1025,"['coding', 'movies', 'foodie', 'finance', 'nature', 'travel', 'gaming']","['extrovert', 'foodie_life', 'early_bird', 'homebody']",21,31,500
11,23,Bengaluru,12.9716,77.5946,"['movies', 'photography', 'fitness', 'anime', 'travel', 'finance', 'cricket']","['homebody', 'foodie_life', 'early_bird', 'minimalist', 'extrovert']",18,28,20
12,19,Chennai,13.0827,80.2707,"['anime', 'hardware', 'design', 'football']","['extrovert', 'luxury', 'foodie_life', 'outdoorsy', 'night_owl']",18,24,500
13,37,Kolkata,22.5726,88.3639,"['fitness', 'hardware', 'photography', 'AI/ML', 'nature', 'football']","['minimalist', 'foodie_life', 'night_owl', 'luxury']",33,41,10
14,28,Bengaluru,12.9716,77.5946,"['hardware', 'reading', 'AI/ML']","['early_bird', 'introvert', 'night_owl']",25,31,50
15,20,Ahmedabad,23.0225,72.5714,"['reading', 'foodie', 'design', 'movies', 'AI/ML', 'anime', 'startups']","['foodie_life', 'fitness_focused', 'introvert']",18,23,10
16,39,Bengaluru,12.9716,77.5946,"['startups', 'football', 'AI/ML', 'reading', 'design', 'hardware']","['night_owl', 'early_bird', 'fitness_focused', 'homebody', 'extrovert']",36,42,20
17,24,Hyderabad,17.385,78.4867,"['hardware', 'cricket', 'music', 'fitness']","['foodie_life', 'introvert', 'night_owl', 'minimalist']",18,31,10
